# CK5 checkpoint frontier on ccaac5c: 86 steps, run in two parts on the same revision.
# Part 1 ran steps 1-38; the container restarted during step 39, and that step's partial log was discarded.
# The tree was then restored (the five placement fixtures `godot-zone-audit` rewrites, provenance stamps only),
# and part 2 ran steps 39-86 from a clean tree. Columns: step, command, exit code, seconds, result line.
part 1
rev ccaac5cb097fba24fac3cf78e1176b2452f2cc06
start 20:12:10
tree_at_start 0
1	make test	0	219	2299 passed, 6 warnings, 627 subtests passed in 216.27s (0:0
2	make smoke	0	1	SMOKE OK — bridge-only loop: connect, scout, allocate, gen
3	python3 docs/design-packet-v0.8/check_packet.py	0	1	prose matches the models across 11 documents (1365 known ide
4	make export && git diff --exit-code -- bridge/archipepsi_bridge/schemas/generated godot/scripts/autoload/constants.gd apworld/archipepsi/constants.py	0	1	
5	make godot-import	0	17	
6	make doctor	0	4	
7	make godot-boot	0	23	GODOT BOOT TESTS OK
8	make godot-test	0	31	GODOT CHAMBER TESTS OK
9	make godot-hud	0	23	GODOT HUD TESTS OK
10	make godot-rules	0	24	GODOT RULES TESTS OK
11	make godot-stats	0	23	GODOT STATS TESTS OK
12	make godot-lab	0	24	GODOT LAB TESTS OK
13	make godot-affordance	0	23	GODOT AFFORDANCE TESTS OK
14	make godot-verbs	0	26	GODOT VERBS TESTS OK
15	make godot-blink	0	25	GODOT BLINK TESTS OK
16	make godot-content	0	23	GODOT CONTENT TESTS OK
17	make godot-activity	0	40	GODOT ACTIVITY TESTS OK
18	make godot-room	0	23	GODOT ROOM TESTS OK
19	make godot-room-contract	0	146	GODOT ROOM CONTRACT TESTS OK
20	make godot-graphs	0	134	GODOT GRAPH TESTS OK
21	make godot-movement	0	24	GODOT MOVEMENT TESTS OK
22	make godot-zone-audit	0	27	GODOT ZONE AUDIT OK
23	make godot-legible	0	22	GODOT LEGIBILITY TESTS OK
24	make godot-physics	0	136	GODOT PHYSICS TESTS OK (68 checks)
25	make godot-traverse	0	64	GODOT TRAVERSE TESTS OK (37 checks)
26	make godot-return-placement	0	22	GODOT RETURN PLACEMENT OK
27	make godot-build-failure	0	25	GODOT RELOAD TESTS OK (6 checks)
28	make godot-exit-reach	0	39	GODOT EXIT REACH OK (81 checks)
29	make godot-passenger-carry	0	44	GODOT PASSENGER CARRY OK (4 checks)
30	make godot-rail-carrier	0	28	GODOT RAIL CARRIER OK (73 checks)
31	make godot-rail-junction	0	120	GODOT RAIL JUNCTION OK (140 checks)
32	make godot-passing-platforms	0	93	GODOT PASSING PLATFORMS OK (70 checks, 7 notes)
33	make godot-counterfire	0	84	GODOT COUNTERFIRE OK (59 checks, 2 notes)
34	make godot-counterfire-hosted	0	284	GODOT COUNTERFIRE HOSTED OK (25 checks, 1 notes)
35	make godot-mass-class	0	39	GODOT MASS CLASS OK (59 checks, 1 notes)
36	make godot-unweighted	0	107	GODOT UNWEIGHTED OK (70 checks, 2 notes)
37	make godot-target-facing	0	22	GODOT TARGET FACING OK (2 checks)
38	make godot-rail-zone	0	23	GODOT RAIL ZONE OK (25 checks, 2 notes)
part 1 interrupted: container restart during step 39 (make godot-rail-gantry); steps 1-38 complete
part 2
rev ccaac5cb097fba24fac3cf78e1176b2452f2cc06
start 20:47:38
tree_at_start 0
first_step 39
39	make godot-rail-gantry	0	40	GODOT RAIL GANTRY OK (41 checks, 3 notes)
40	make godot-gantry-census	0	253	GANTRY CENSUS OK (every sampled layout of an arena width 24 
41	make godot-zone-state	0	29	GODOT ZONE STATE OK (60 checks, 3 notes)
42	make godot-roster	0	61	GODOT ROSTER OK (52 checks, 5 notes)
43	make godot-actuator	0	37	GODOT ACTUATOR OK (93 checks, 1 notes)
44	make godot-constraints	0	104	GODOT CONSTRAINTS OK (67 checks, 2 notes)
45	make godot-archive	0	23	GODOT ARCHIVE OK (23 checks, 0 notes)
46	make godot-consumable	0	23	GODOT CONSUMABLE TESTS OK (87 checks)
47	make godot-encounter	0	88	GODOT ENCOUNTER TESTS OK (51 checks, 2 notes)
48	make godot-signal-graph	0	41	GODOT SIGNAL GRAPH TESTS OK (61 checks, 0 notes)
49	make godot-signal-verbs	0	53	GODOT SIGNAL VERBS OK (32 checks, 0 notes)
50	make godot-latched-route	0	127	GODOT LATCHED ROUTE TESTS OK (73 checks, 4 notes)
51	make godot-theme-pack	0	23	GODOT THEME PACK TESTS OK (30 checks, 0 notes)
52	make godot-carry	0	45	GODOT CARRY TESTS OK (32 checks, 1 notes)
53	make godot-transport	0	397	GODOT TRANSPORT TESTS OK (106 checks, 6 notes)
54	make godot-held-route	0	109	GODOT HELD ROUTE OK (33 checks, 1 notes)
55	make godot-reversible	0	109	GODOT REVERSIBLE TESTS OK (32 checks, 0 notes)
56	make godot-verb-runtime	0	78	GODOT VERB RUNTIME OK (95 checks, 1 notes)
57	make godot-status-family	0	47	GODOT STATUS FAMILY OK (15 checks, 1 notes)
58	make godot-status-kinetic	0	59	GODOT STATUS KINETIC OK (35 checks, 1 notes)
59	make godot-combat-fairness	0	189	GODOT COMBAT FAIRNESS OK (50 checks, 0 notes)
60	make godot-flyer-room	0	48	GODOT FLYER ROOM OK (7 checks, 0 notes)
61	make godot-resume	0	25	GODOT RESUME TESTS OK (12 checks, 0 notes)
62	make godot-minor-claim	0	107	GODOT MINOR CLAIM TESTS OK (17 checks, 4 notes)
63	make godot-passing-hosted PASSING_ZONE=/tmp/claude-0/-home-user-archipepsi/4fcd533d-0ce3-52dc-bbf4-13b00ca2dbdd/scratchpad/passing_zone_capture2.json	0	131	GODOT PASSING HOSTED OK (24 checks, 4 notes)
64	make godot-consumable-live	0	44	GODOT CONSUMABLE LIVE TESTS OK (1 notes)
65	make godot-consumable-restart	0	40	GODOT CONSUMABLE LIVE TESTS OK (1 notes)
66	make godot-latched-route-live	0	86	GODOT LATCHED LIVE RESTORE OK (13 checks, 1 notes)
67	make godot-lever-route-live	0	81	GODOT LATCHED LIVE LEVER RESTORE OK (14 checks, 1 notes)
68	make godot-transport-live	0	170	GODOT TRANSPORT LIVE RESTORE OK (12 checks, 0 notes)
69	make godot-reversible-live	0	86	GODOT REVERSIBLE LIVE RESTORE OK (6 checks, 0 notes)
70	make godot-candidate-live	0	312	GODOT CANDIDATE LIVE NEXT_FINAL OK (8 checks, 1 notes)
71	make godot-resume-live	0	107	GODOT RESUME LIVE LEGACY OK (6 checks, 0 notes)
72	make godot-ordinary-live	0	35	GODOT RELOAD TESTS OK (10 checks)
73	make godot-integration	0	157	GODOT INTEGRATION OK
74	make godot-integration-quiet	0	157	GODOT INTEGRATION OK
75	make godot-integration-variant-live	0	32	GODOT INTEGRATION OK
76	make godot-reload	0	59	GODOT RELOAD TESTS OK (20 checks)
77	make version	0	1	
78	make latched-route-fixture lever-route-fixture held-route-fixture && git diff --exit-code -- godot/tests/fixtures/latched_route_zone.json godot/tests/fixtures/lever_route_zone.json godot/tests/fixtures/held_route_zone.json; rc=$?; git checkout -- godot/tests/fixtures/latched_route_zone.json godot/tests/fixtures/lever_route_zone.json godot/tests/fixtures/held_route_zone.json; exit $rc	0	2	
79	make godot-menu-shell	0	30	GODOT MENU SHELL OK (23 checks, 2 notes)
80	make godot-equipment-face	0	28	GODOT EQUIPMENT FACE OK (107 checks, 1 notes)
81	make equipment-fixture && git diff --exit-code -- godot/tests/fixtures/equipment_snapshot.json; rc=$?; git checkout -- godot/tests/fixtures/equipment_snapshot.json; exit $rc	0	1	
82	make godot-minimap	0	23	GODOT MINIMAP OK (30 checks, 1 notes)
83	make map-fixture && git diff --exit-code -- godot/tests/fixtures/map_snapshot.json; rc=$?; git checkout -- godot/tests/fixtures/map_snapshot.json; exit $rc	0	1	
84	make godot-map-face	0	26	GODOT MAP FACE OK (52 checks, 1 notes)
85	make godot-journal-face	0	23	GODOT JOURNAL FACE OK (36 checks, 0 notes)
86	make journal-fixture && git diff --exit-code -- godot/tests/fixtures/journal_snapshot.json; rc=$?; git checkout -- godot/tests/fixtures/journal_snapshot.json; exit $rc	0	1	
end 21:50:06
tree_at_end 
DONE
